Job,Days,Total Wages,Page,Daily Wages,weekly_wages
repairs,29.00,58.50,1.00,2.02,14.12
finishers,28.50,57.00,2.00,2.00,14.00
foreman,24.50,49.00,5.00,2.00,14.00
machine room,24.00,48.00,5.00,2.00,14.00
repairs,31.50,55.12,1.00,1.75,12.25
machine room,23.00,38.75,5.00,1.68,11.79
engineer,25.00,37.50,9.00,1.50,10.50
overseer,24.00,36.00,6.00,1.50,10.50
watchmen,19.25,28.87,5.00,1.50,10.50
fireman,28.00,35.00,5.00,1.25,8.75
watchmen,28.00,28.00,5.00,1.00,7.00
cutter,24.00,15.00,8.00,0.63,4.38
rag room,26.00,13.00,2.00,0.50,3.50
rag room,24.00,12.00,6.00,0.50,3.50
